1614542400000,1.27537000,1.30897000,1.25899000,1.29931000,67072446.80000000,1614545999999,86141946.93381000,71333,35136589.40000000,45150062.02735700,0
1614546000000,1.29931000,1.35950000,1.29866000,1.34195000,102442503.60000000,1614549599999,136314712.30818500,95994,52546203.70000000,69966504.79344200,0
1614549600000,1.34159000,1.35000000,1.26001000,1.29223000,77881434.20000000,1614553199999,101539728.75460200,84435,36266102.50000000,47284115.11187500,0
1614553200000,1.29248000,1.33030000,1.29094000,1.31203000,63212150.70000000,1614556799999,83081495.75582800,65964,30850521.60000000,40546671.29075400,0
1614556800000,1.31279000,1.32288000,1.27000000,1.27176000,59677071.90000000,1614560399999,77349310.23240700,58421,28310597.80000000,36698815.31136500,0
1614560400000,1.27156000,1.28930000,1.25344000,1.28681000,42796148.10000000,1614563999999,54438417.55274100,65531,22111832.30000000,28133750.98632500,0
1614564000000,1.28662000,1.30340000,1.26200000,1.26882000,33672489.50000000,1614567599999,43229170.10642800,41877,16530193.40000000,21227397.42159300,0
1614567600000,1.26878000,1.28290000,1.24692000,1.27322000,32911501.90000000,1614571199999,41729984.55528400,70899,17339737.70000000,21999192.12116400,0
1614571200000,1.27355000,1.28490000,1.26110000,1.27560000,25426657.30000000,1614574799999,32367384.00013500,29174,13409639.80000000,17072268.60576300,0
1614574800000,1.27560000,1.28000000,1.25373000,1.26554000,21613915.80000000,1614578399999,27365053.48620700,24642,10256771.80000000,12991392.01151500,0
1614578400000,1.26549000,1.26782000,1.23131000,1.23817000,31990058.30000000,1614581999999,39927564.06503600,34319,15202097.00000000,18975781.56777300,0
1614582000000,1.23823000,1.28362000,1.23683000,1.27699000,34907140.00000000,1614585599999,43968308.77808400,41275,19521190.50000000,24583199.45346000,0
1614585600000,1.27708000,1.30800000,1.27550000,1.28321000,52461368.10000000,1614589199999,67748227.55047800,106762,26199243.40000000,33848273.30030200,0
1614589200000,1.28321000,1.29190000,1.25413000,1.26201000,48292481.80000000,1614592799999,61356593.06899700,53581,23846087.10000000,30292841.89271200,0
1614592800000,1.26226000,1.26800000,1.23616000,1.26025000,48407747.30000000,1614596399999,60699234.16483000,52939,23239463.80000000,29156378.80837000,0
